ProductID,ProductName,ProductGroupID,Price,Manufacturer,WarrantyPeriod,StockQuantity,Description,Color,Weight,Dimensions,ReleaseDate
101,Camera C,4,241.95,ScreenMasters,32 months,136,Himself offer car nor resource.,Silver,3.31 kg,6x19x4 inches,2024-01-07
102,Game Console E,2,822.31,ImagePro,34 months,447,Will become soon seven south off election report.,Silver,8.22 kg,31x38x9 inches,2024-03-11
103,Tablet A,3,1338.13,SoundWorks,31 months,410,Music personal special to reason.,Red,4.6 kg,32x20x8 inches,2024-06-14
104,Bluetooth Speaker F,1,717.71,SoundWorks,14 months,104,Arm board PM medical memory people west.,Red,8.64 kg,59x39x6 inches,2024-03-28
105,Camera C,1,935.77,SoundWorks,30 months,222,Interesting song system design without single area.,Red,7.78 kg,13x28x7 inches,2024-02-29
106,Smartphone X,3,1165.43,SoundWorks,20 months,436,Collection line garden Congress.,Silver,10.91 kg,38x12x9 inches,2024-04-16
107,Camera C,1,322.8,CompTech,14 months,413,Final pay many send appear.,Silver,11.08 kg,29x29x10 inches,2024-01-12
108,Smartphone X,4,831.5,ScreenMasters,21 months,101,Green they although Mrs.,Blue,0.53 kg,56x11x1 inches,2024-07-10
109,Headphone B,4,303.72,ImagePro,19 months,58,Likely statement involve need herself.,Gray,11.45 kg,15x13x4 inches,2024-07-29
110,Bluetooth Speaker F,2,1133.27,SoundWorks,21 months,453,Cost any try professor carry.,Black,0.67 kg,21x5x5 inches,2024-02-24
111,Bluetooth Speaker F,2,460.38,SoundWorks,23 months,242,Development friend close general share.,White,6.43 kg,45x13x5 inches,2024-05-28
112,Smartphone X,1,1166.77,CompTech,13 months,84,Trade hit music hit election course present.,White,13.15 kg,55x5x7 inches,2024-02-27
113,Laptop Y,2,819.5,CompTech,26 months,346,Example say level traditional indicate one.,White,8.65 kg,17x6x1 inches,2024-07-23
114,Smart TV Z,3,128.35,TechCorp,22 months,255,Language free issue culture form.,Silver,5.54 kg,27x8x7 inches,2024-04-12
115,Camera C,3,880.92,ScreenMasters,14 months,453,Chair close political join according race.,White,12.42 kg,29x34x3 inches,2024-03-14
116,Smartphone X,2,1422.81,TechCorp,30 months,240,Risk research play probably nearly action score.,Blue,9.83 kg,33x23x9 inches,2024-08-04
117,Tablet A,4,284.67,ScreenMasters,13 months,411,Establish know cold government bed will into.,Silver,10.49 kg,60x32x8 inches,2024-05-30
118,Monitor G,5,1291.16,ImagePro,13 months,445,As success debate there decision feeling.,Blue,12.47 kg,22x38x10 inches,2024-03-31
119,Headphone B,4,955.78,SoundWorks,28 months,279,Month tend any hope word.,Blue,1.35 kg,44x13x10 inches,2024-07-16
120,Bluetooth Speaker F,1,1128.98,CompTech,34 months,131,Nothing event author article fear customer support.,Gray,6.73 kg,25x5x6 inches,2024-05-22
121,Tablet A,1,997.41,ScreenMasters,25 months,108,Yes my peace site.,Gray,9.14 kg,25x38x4 inches,2024-02-03
122,Headphone B,5,509.89,ScreenMasters,24 months,394,Black develop off full.,Red,1.72 kg,15x12x9 inches,2024-04-05
123,Smartwatch D,2,1218.27,TechCorp,31 months,204,Space scene ok nothing buy.,Black,10.55 kg,41x25x4 inches,2024-07-23
124,Headphone B,2,123.03,ImagePro,33 months,343,Finally both often moment ok cold crime.,Silver,0.65 kg,17x23x4 inches,2024-04-04
125,Bluetooth Speaker F,4,1290.58,ScreenMasters,16 months,61,Long be own exist learn weight.,White,1.54 kg,37x28x3 inches,2024-02-21
126,Bluetooth Speaker F,1,188.42,TechCorp,15 months,488,Dinner finally student bit.,Black,13.57 kg,40x8x5 inches,2024-02-06
127,Game Console E,2,1125.96,CompTech,20 months,152,Prepare worry air maintain.,Gray,13.39 kg,58x19x9 inches,2024-01-02
128,Smartphone X,1,1452.27,ImagePro,15 months,79,Alone nation practice adult even table rule money.,White,3.18 kg,39x32x4 inches,2024-08-07
129,Game Console E,4,1085.37,CompTech,35 months,119,Everything analysis stand indicate oil should.,Black,7.45 kg,59x17x9 inches,2024-08-04
130,Bluetooth Speaker F,2,865.89,SoundWorks,23 months,366,Shoulder one science point need.,White,4.18 kg,47x13x8 inches,2024-03-26
131,Camera C,1,965.27,CompTech,29 months,450,Oil plan war agency deep.,Black,2.16 kg,11x10x2 inches,2024-01-18
132,Bluetooth Speaker F,3,1404.19,ImagePro,31 months,334,Pick as establish able thousand idea.,Red,3.87 kg,14x11x6 inches,2024-02-15
133,Camera C,4,226.2,ImagePro,18 months,315,Cell or discussion.,White,7.45 kg,15x7x1 inches,2024-04-29
134,Headphone B,4,715.62,SoundWorks,18 months,362,Admit energy recognize language sound family wait forward.,Blue,5.76 kg,23x27x5 inches,2024-05-04
135,Camera C,3,409.45,TechCorp,26 months,264,Heart each huge leave hear down perform.,Silver,3.7 kg,14x26x8 inches,2024-06-02
136,Monitor G,4,1120.94,SoundWorks,22 months,114,Character determine remain when very here gun.,Gray,10.7 kg,53x32x6 inches,2024-06-05
137,Tablet A,3,928.74,CompTech,20 months,72,Respond lose question prove Mr check.,Gray,8.74 kg,13x36x2 inches,2024-07-27
138,Bluetooth Speaker F,5,548.23,CompTech,31 months,374,Important wind natural statement.,Blue,1.06 kg,31x15x6 inches,2024-03-31
139,Smartwatch D,1,134.9,TechCorp,19 months,357,Never western mission in series.,Blue,4.54 kg,49x29x3 inches,2024-07-11
140,Laptop Y,4,810.0,CompTech,35 months,446,Free wall military speak to feel.,Black,10.24 kg,8x24x5 inches,2024-01-24
141,Camera C,5,1152.49,SoundWorks,18 months,383,Society focus marriage available term stop.,Silver,3.35 kg,42x23x9 inches,2024-03-12
142,Smartphone X,4,928.18,ImagePro,23 months,273,Agent message look meet road customer town.,Black,10.97 kg,39x30x8 inches,2024-05-26
143,Smart TV Z,4,1004.07,ScreenMasters,33 months,274,Six page none west sense.,White,7.12 kg,13x39x9 inches,2024-07-21
144,Smartphone X,5,1354.31,CompTech,17 months,174,Source article marriage section state other until sit.,Black,2.85 kg,53x32x7 inches,2024-05-31
145,Tablet A,3,635.95,ImagePro,32 months,299,Game staff Mr student finally.,Black,6.99 kg,55x9x5 inches,2024-04-07
146,Smartwatch D,3,808.61,ScreenMasters,34 months,262,Class everybody hand left pay.,Red,10.79 kg,53x24x9 inches,2024-06-10
147,Laptop Y,4,1486.61,CompTech,26 months,212,Stock law think husband stage degree.,Black,14.47 kg,33x39x3 inches,2024-05-07
148,Headphone B,3,479.63,CompTech,25 months,345,Yes western day loss.,Blue,0.24 kg,26x26x6 inches,2024-03-27
149,Laptop Y,3,1178.2,ScreenMasters,15 months,286,Official hotel remain law wide.,Blue,14.39 kg,41x37x4 inches,2024-08-02
150,Camera C,3,836.0,SoundWorks,32 months,422,Pick rock yet speech.,Red,12.58 kg,24x32x3 inches,2024-07-12
151,Monitor G,2,929.28,ImagePro,31 months,451,Picture job official beyond.,Gray,6.08 kg,48x21x8 inches,2024-07-02
